trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,Volume,turnover,market_cap
15-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,264.9,272.7,261.3,270.5,3478259,93400000000000.00,0.1192
16-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,273.7,281.3,272.5,276.2,4100489,114000000000000.00,0.1477
17-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,280.55,286.4,275.45,282.3,4126840,117000000000000.00,0.149
20-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,282,284.8,273.3,274.75,2192534,61200000000000.00,0.248
21-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,276.1,279,257,261.25,3223848,87300000000000.00,0.2082
22-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,263.95,279,260.55,263.7,2569557,68200000000000.00,0.1522
23-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,264.5,273.25,261.65,263.8,3114998,83600000000000.00,0.1297
24-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,265,291,260,285,5225375,144000000000000.00,0.1382
25-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,294.9,297.7,291.5,293.75,1888755,55600000000000.00,0.1246
27-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,294.9,298,281.6,283.2,5831782,170000000000000.00,0.1148
28-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,283,291.9,277.8,286.3,5640636,162000000000000.00,0.0941
29-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,291.45,308.3,286.2,305,7996572,237000000000000.00,0.1323
30-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,306.5,310.7,302,305.9,7108567,218000000000000.00,0.1281
31-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,307.8,324.2,306.5,322.3,9924397,314000000000000.00,0.0675
03-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,324,349.5,324,347.6,9820043,334000000000000.00,0.185
04-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,355,356.6,345.2,349.5,7884723,276000000000000.00,0.1382
05-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,350,350,330.1,336.1,7280790,247000000000000.00,0.1727
06-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,340,345.7,334,338.45,6122862,208000000000000.00,0.1567
07-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,340.9,343.4,331.25,333.25,4584798,154000000000000.00,0.1843
10-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,337,345,327.1,341.7,1953978,66100000000000.00,0.1659
11-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,343.75,346.85,338.35,340.7,3262766,112000000000000.00,0.1647
12-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,338.05,347,338.05,342.95,3302571,114000000000000.00,0.121
13-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,344.95,356.7,338,346.75,7982920,280000000000000.00,0.1433
14-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,346,346.5,326.15,329.3,4834168,163000000000000.00,0.2002
15-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,330,342,325.65,337.45,1843493,61500000000000.00,0.086
17-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,340.65,353.5,337,350,4081415,141000000000000.00,0.1621
18-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,353,354.4,340,344.05,4672908,162000000000000.00,0.111
19-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,346,346,329,330.6,4672785,157000000000000.00,0.1807
20-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,331.95,339.05,321,323.05,5484243,182000000000000.00,0.1393
21-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,324,327,314.1,324.05,8100784,259000000000000.00,0.124
24-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,328.7,333,324,327.25,5287524,174000000000000.00,0.1102
25-11-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,330.55,338.5,328.65,337.3,5021011,167000000000000.00,0.1247
05-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,89.8,109.5,83.15,100.6,481058927,4930000000000000.00,0.3771
08-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,104,104,94.85,95.45,71252858,699000000000000.00,0.3104
09-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,95.5,102.85,90.35,101.95,65658228,647000000000000.00,0.2588
10-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,104.6,105,102,102.9,38211410,396000000000000.00,0.4294
11-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,120,120,102,114.4,59805552,663000000000000.00,0.2931
12-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,112,117.9,111,113.65,55918584,646000000000000.00,0.2831
15-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,116,116.7,114.15,115.15,23520928,272000000000000.00,0.3839
16-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,115.3,128.9,114.5,126.9,77970674,950000000000000.00,0.2255
17-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,114,140,106.1,136.8,115242925,1470000000000000.00,0.159
18-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,139,149.45,126.35,132,82472533,1180000000000000.00,0.2765
19-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,129,136.9,125,131.55,62024917,819000000000000.00,0.1996
22-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,128.9,133.85,125.5,129.8,40642551,532000000000000.00,0.2282
23-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,133,140.3,133,139.05,41959654,577000000000000.00,0.2255
24-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,142,143.5,135.35,136.9,35468542,496000000000000.00,0.2887
25-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,132.25,139.8,120.65,136.6,19418905,267000000000000.00,0.3094
26-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,139,142.95,135.25,140.7,35083148,492000000000000.00,0.284
29-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,143,147,142.3,143.55,24557461,354000000000000.00,0.2966
30-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,145.5,150.7,141.2,146.75,44955974,658000000000000.00,0.2568
31-10-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,147.5,153.1,147,149.8,25118651,380000000000000.00,0.279
